chercheur	rôle	établissement
Gonzalez, Mailyn	Cocandidat	Instituto de Investigación de Recursos Biológicos Alexander von Humboldt
Gonzalez, Andrew	Cochercheur principal	Université McGill
Göritz, Christian	Cocandidat	Karolinska Institutet
Grabowski, Michal	Cocandidat	Uniwersytet Lódzki
Götz, Magdalena	Cocandidat	Biomedical Center, Ludwig Maximilian University of Munich
Goupil, Sébastien	Collaborateur	UNESCO
Graham, Ian	Collaborateur	Institut de recherche de l'Hôpital d'Ottawa
Green, Stephanie	Cocandidat	University of Alberta
Grimm, Holly	Collaborateur	Sustia LLC
Gross, Jed	Cochercheur principal	University Health Network
Guérin, Brigitte	Cocandidat	Université de Sherbrooke
Guttorm, Hanna	Collaborateur	University of Helsinki (Region 22)
Haan, Maureen	Collaborateur	Canadian Council on Rehabilitation and Work (CCRW)
Hagelqvist, Niels Erik	Collaborateur	Nukissiorfiit
Hajibabaei, Mehrdad	Cochercheur principal	University of Guelph
Häkkinen, Hannu	Cocandidat	University of Jyväskylä
Hall, Andrew	Collaborateur	Yukon Energy
Hall, Heather	Cocandidat	University of Waterloo
Haller, Christoph	Cochercheur principal	Hospital for Sick Children
Hansen, Rick	Collaborateur	Rick Hansen Foundation
Harlos, Karen	Cocandidat	University of Winnipeg
Harper, Sherilee	Cocandidat	University of Alberta
Harrell, D. Fox	Cocandidat	Massachusetts Institute of Technology
Hausmann, Axel	Cocandidat	Bavarian State Collection of Zoology
Hawboldt, Kelly	Cochercheur principal	Memorial University of Newfoundland
Haykal, Siba	Cochercheur principal	University Health Network
Hedberg, Yolanda	Cocandidat	KTH Royal Institute of Technology
Heldebrant, David	Cocandidat	Pacific Northwest National Laboratory
Hebert, Paul	Chercheur principal désigné	University of Guelph
Hendriks, Elizabeth	Collaborateur	World Wildlife Fund Canada
Higgins, Drew	Cochercheur principal	McMaster University
Hogan, Joella	Collaborateur	Nacho Nyak Dun First Nation (Region 4)
Hoehr, Cornelia	Cocandidat	TRIUMF
Hogg, Ian	Collaborateur	Savoir polaire Canada
Hogue, Michelle	Collaborateur	University of Lethbridge (Region 33)
Hoicka, Christina	Cocandidat	University of Victoria
Holdcroft, Steven	Cocandidat	Simon Fraser University
Hollingsworth, Peter	Cocandidat	Royal Botanic Garden Edinburgh
Holmes, Geoff	Collaborateur	Carbon Engineering
Humar, Atul	Cochercheur principal	University Health Network
Humphries, Murray	Cochercheur principal	Université McGill
Huntington, Henry	Collaborateur	Independent Consultant (Region 21)
Chercheur	Rôle	Établissement
Husain, Mansoor	Collaborateur	Ted Rogers Centre for Heart Research
Huot, Philippe	Cocandidat	Université McGill
Hutchison, Matthew	Collaborateur	Biogen
Hynynen, Kullervo	Cocandidat	Sunnybrook Research Institute
Ichim, Mihael	Cocandidat	National Institute of Research and Development for Biological Sciences
Illes, Judy	Cochercheur principal	University of British Columbia
